Date,Channel,Sessions,Transactions,AOV,CPA
12/31/2017,Channel A,1155,263,58.97,10
12/31/2017,Channel B,1311,108,72.06,27
12/31/2017,Channel C,1322,115,56.51,5
12/31/2017,Channel D,2320,198,63.71,14
12/30/2017,Channel A,1674,341,59.21,3
12/30/2017,Channel B,1688,145,68.88,15
12/30/2017,Channel C,2976,238,62.41,11
12/30/2017,Channel D,3150,249,66.16,15
12/29/2017,Channel A,2368,559,62.21,7
12/29/2017,Channel B,2383,268,71.74,15
12/29/2017,Channel C,2045,233,62.45,8
12/29/2017,Channel D,4657,475,66.77,17
12/28/2017,Channel A,2681,613,63.7,7
12/28/2017,Channel B,2827,337,74.88,24
12/28/2017,Channel C,4119,410,63.59,10
12/28/2017,Channel D,4990,545,66.82,17
12/27/2017,Channel A,2999,673,66.82,6
12/27/2017,Channel B,2997,367,75.22,16
12/27/2017,Channel C,3324,308,60.61,5
12/27/2017,Channel D,5058,518,68.8,10
12/26/2017,Channel A,2427,524,65.11,7
12/26/2017,Channel B,2269,263,77.42,21
12/26/2017,Channel C,3759,296,60.8,11
12/26/2017,Channel D,4343,459,68.5,12
12/25/2017,Channel A,1005,174,63.43,6
12/25/2017,Channel B,976,79,77.75,15
12/25/2017,Channel C,1350,75,64.36,8
12/25/2017,Channel D,2084,158,65.93,15
12/24/2017,Channel A,2000,319,62.78,6
12/24/2017,Channel B,1115,98,70.12,33
12/24/2017,Channel C,4023,251,65.59,6
12/24/2017,Channel D,3335,271,65.73,14
12/23/2017,Channel A,4053,701,62.34,10
12/23/2017,Channel B,1855,236,63.99,18
12/23/2017,Channel C,9948,980,66.07,7
12/23/2017,Channel D,5872,543,66.95,20
12/22/2017,Channel A,5631,1214,66.46,5
12/22/2017,Channel B,2961,432,66.54,19
12/22/2017,Channel C,14833,1921,67.13,9
12/22/2017,Channel D,9106,1076,69.41,10
12/21/2017,Channel A,6899,1625,66.54,7
12/21/2017,Channel B,4138,654,69.24,25
12/21/2017,Channel C,19106,2460,65.42,12
12/21/2017,Channel D,10252,1383,70.82,11
12/20/2017,Channel A,7763,1911,67.26,4
12/20/2017,Channel B,4791,781,69.6,27
12/20/2017,Channel C,19904,2512,65.26,5
12/20/2017,Channel D,10533,1542,69.73,18
12/19/2017,Channel A,8292,1958,66.54,7
12/19/2017,Channel B,4819,791,68.87,25
12/19/2017,Channel C,23181,2893,66.05,5
12/19/2017,Channel D,10490,1573,69.82,18
12/18/2017,Channel A,7989,2024,64.26,8
12/18/2017,Channel B,5169,938,69.61,34
12/18/2017,Channel C,21165,2806,65.08,10
12/18/2017,Channel D,10592,1611,69.44,19
12/17/2017,Channel A,4799,1153,64.16,8
12/17/2017,Channel B,3206,547,66.21,33
12/17/2017,Channel C,16556,2018,66.73,8
12/17/2017,Channel D,5744,802,69.24,15
12/16/2017,Channel A,4102,1015,64.58,7
12/16/2017,Channel B,3766,616,65.45,29
12/16/2017,Channel C,15610,1676,64.95,9
12/16/2017,Channel D,5862,661,67.75,17
12/15/2017,Channel A,5523,1366,65.56,5
12/15/2017,Channel B,9557,1007,68.13,30
12/15/2017,Channel C,21234,2220,64.45,12
12/15/2017,Channel D,8436,1149,69.32,17
12/14/2017,Channel A,5721,1390,67.13,3
12/14/2017,Channel B,5081,685,71.3,17
12/14/2017,Channel C,31868,1747,67.53,11
12/14/2017,Channel D,8837,1159,69.5,19
12/13/2017,Channel A,6703,1515,67.79,8
12/13/2017,Channel B,5951,756,73.19,33
12/13/2017,Channel C,13960,1505,66.5,7
12/13/2017,Channel D,8946,1179,70.15,12
12/12/2017,Channel A,6396,1416,66.23,5
12/12/2017,Channel B,8856,875,68.54,22
12/12/2017,Channel C,11531,1266,65.75,6
12/12/2017,Channel D,8850,1193,68.77,18
12/11/2017,Channel A,5459,1392,65.84,6
12/11/2017,Channel B,4779,691,68.95,28
12/11/2017,Channel C,14497,1613,63.45,10
12/11/2017,Channel D,8741,1184,68.46,19
12/10/2017,Channel A,3323,767,64.81,10
12/10/2017,Channel B,3350,396,68.87,24
12/10/2017,Channel C,10727,1120,66.61,6
12/10/2017,Channel D,4805,600,67.29,16
12/9/2017,Channel A,2893,628,67.09,7
12/9/2017,Channel B,3855,412,70.05,34
12/9/2017,Channel C,12215,1143,64.43,9
12/9/2017,Channel D,4687,511,68.22,11
12/8/2017,Channel A,4097,960,66.14,6
12/8/2017,Channel B,7330,631,72.17,30
12/8/2017,Channel C,12003,1214,62.18,8
12/8/2017,Channel D,7134,841,69.97,10
12/7/2017,Channel A,4563,1110,66.21,6
12/7/2017,Channel B,13463,748,76.44,15
12/7/2017,Channel C,13851,1619,63.88,8
12/7/2017,Channel D,7782,947,70,11
12/6/2017,Channel A,4486,1092,66.25,5
12/6/2017,Channel B,8531,512,74.71,34
12/6/2017,Channel C,12064,1154,65.24,10
12/6/2017,Channel D,7866,997,67.87,11
12/5/2017,Channel A,4345,1079,65.58,7
12/5/2017,Channel B,2940,469,74.6,19
12/5/2017,Channel C,14014,1234,61.85,12
12/5/2017,Channel D,7902,977,68.85,12
12/4/2017,Channel A,4049,1022,65.84,3
12/4/2017,Channel B,2665,404,78.77,30
12/4/2017,Channel C,12361,1164,60.63,7
12/4/2017,Channel D,7835,979,65.91,17
12/3/2017,Channel A,2601,546,63.51,4
12/3/2017,Channel B,1621,211,74.84,25
12/3/2017,Channel C,10070,829,62.51,7
12/3/2017,Channel D,4275,440,65.41,13
12/2/2017,Channel A,2400,465,65.18,9
12/2/2017,Channel B,1703,202,68.89,18
12/2/2017,Channel C,7870,512,62.48,8
12/2/2017,Channel D,4226,369,65.21,20
12/1/2017,Channel A,3648,744,65.48,3
12/1/2017,Channel B,2751,380,72.47,31
12/1/2017,Channel C,8687,749,64.83,11
12/1/2017,Channel D,6648,789,69.17,17
11/30/2017,Channel A,3902,910,66.16,4
11/30/2017,Channel B,2962,400,76.07,15
11/30/2017,Channel C,9797,1002,65.62,8
11/30/2017,Channel D,7186,823,68.69,16
11/29/2017,Channel A,3916,905,67.88,7
11/29/2017,Channel B,2891,349,73.09,35
11/29/2017,Channel C,9897,848,59.75,5
11/29/2017,Channel D,6889,795,66.81,11
11/28/2017,Channel A,3530,849,64.42,3
11/28/2017,Channel B,2810,315,76.21,16
11/28/2017,Channel C,11273,1087,60.69,11
11/28/2017,Channel D,6851,832,68.1,17
11/27/2017,Channel A,4426,1063,66.67,8
11/27/2017,Channel B,3289,338,79.96,27
11/27/2017,Channel C,13922,1584,66.66,8
11/27/2017,Channel D,7867,945,67.03,19
11/26/2017,Channel A,1965,386,64.4,4
11/26/2017,Channel B,1516,139,75.12,23
11/26/2017,Channel C,5928,462,63.55,5
11/26/2017,Channel D,3698,343,65.07,18
11/25/2017,Channel A,1704,320,63.42,9
11/25/2017,Channel B,1527,150,77.23,23
11/25/2017,Channel C,5292,302,58.24,6
11/25/2017,Channel D,3196,251,63.84,12
11/24/2017,Channel A,2207,403,66.08,5
11/24/2017,Channel B,1689,173,75.09,32
11/24/2017,Channel C,6343,422,59.62,7
11/24/2017,Channel D,3874,332,67.63,11
11/23/2017,Channel A,1525,208,64.17,6
11/23/2017,Channel B,1048,74,79.87,30
11/23/2017,Channel C,1725,99,66.31,7
11/23/2017,Channel D,2443,198,67.28,15
11/22/2017,Channel A,2625,638,65.45,5
11/22/2017,Channel B,2155,234,73.52,32
11/22/2017,Channel C,7730,631,63.14,8
11/22/2017,Channel D,5979,712,69.08,19
11/21/2017,Channel A,3501,921,66.45,3
11/21/2017,Channel B,2362,304,70.12,34
11/21/2017,Channel C,9835,1165,61.58,8
11/21/2017,Channel D,7363,1007,66.22,16
11/20/2017,Channel A,3908,1034,64.23,6
11/20/2017,Channel B,2775,394,71.37,15
11/20/2017,Channel C,11620,1324,60.47,6
11/20/2017,Channel D,7539,1119,65.58,11
11/19/2017,Channel A,2197,556,61.12,6
11/19/2017,Channel B,1961,244,67.39,18
11/19/2017,Channel C,7280,798,61.29,8
11/19/2017,Channel D,4026,496,65.96,15
11/18/2017,Channel A,1835,420,62.59,5
11/18/2017,Channel B,2127,214,73.58,16
11/18/2017,Channel C,5808,546,59.14,12
11/18/2017,Channel D,3928,400,65.63,20
11/17/2017,Channel A,2894,695,65.61,7
11/17/2017,Channel B,3723,344,77.38,31
11/17/2017,Channel C,8226,745,60.94,8
11/17/2017,Channel D,6178,847,66.83,18
11/16/2017,Channel A,3489,875,63.45,10
11/16/2017,Channel B,8968,505,73.01,25
11/16/2017,Channel C,10550,1040,61.6,11
11/16/2017,Channel D,6893,948,67.54,14
11/15/2017,Channel A,3517,894,63.89,6
11/15/2017,Channel B,3860,347,75.54,22
11/15/2017,Channel C,7768,755,57.69,6
11/15/2017,Channel D,6709,921,64.88,15
11/14/2017,Channel A,3396,900,62.45,3
11/14/2017,Channel B,3794,341,73.6,15
11/14/2017,Channel C,7811,703,61.12,7
11/14/2017,Channel D,6632,933,64.18,15
11/13/2017,Channel A,3475,934,61.72,3
11/13/2017,Channel B,2439,286,75.42,20
11/13/2017,Channel C,7047,643,56.69,8
11/13/2017,Channel D,6815,950,63.76,12
11/12/2017,Channel A,1812,420,61.38,3
11/12/2017,Channel B,1370,129,75.58,21
11/12/2017,Channel C,2051,196,62.73,8
11/12/2017,Channel D,3234,342,65.28,12
11/11/2017,Channel A,1942,413,63.74,4
11/11/2017,Channel B,1542,140,76.73,30
11/11/2017,Channel C,3694,275,62.21,8
11/11/2017,Channel D,3254,296,65.42,14
11/10/2017,Channel A,2509,612,67.07,6
11/10/2017,Channel B,2164,259,76.71,25
11/10/2017,Channel C,3871,283,64.92,6
11/10/2017,Channel D,5456,659,67.82,17
11/9/2017,Channel A,3032,756,67.51,6
11/9/2017,Channel B,2745,289,75.1,18
11/9/2017,Channel C,7400,541,62.2,8
11/9/2017,Channel D,6570,857,66.4,15
11/8/2017,Channel A,3407,876,62.47,9
11/8/2017,Channel B,3192,295,77.52,22
11/8/2017,Channel C,6423,480,60.11,9
11/8/2017,Channel D,8297,1173,65.02,16
11/7/2017,Channel A,3325,864,64.33,6
11/7/2017,Channel B,2363,306,77.64,19
11/7/2017,Channel C,4425,358,57.68,9
11/7/2017,Channel D,11622,1681,64.99,10
11/6/2017,Channel A,3393,897,61.38,7
11/6/2017,Channel B,2277,285,76.59,19
11/6/2017,Channel C,6813,590,57.06,5
11/6/2017,Channel D,11173,1734,64.88,18
11/5/2017,Channel A,1832,402,59.02,5
11/5/2017,Channel B,1381,155,76.04,34
11/5/2017,Channel C,2360,222,59.76,5
11/5/2017,Channel D,6433,704,64.89,19
11/4/2017,Channel A,1620,315,63.34,4
11/4/2017,Channel B,1339,135,76.43,15
11/4/2017,Channel C,4315,291,60.03,8
11/4/2017,Channel D,6141,646,65.01,17
11/3/2017,Channel A,2686,671,63.72,10
11/3/2017,Channel B,2076,264,76.9,31
11/3/2017,Channel C,7642,656,58.46,7
11/3/2017,Channel D,10482,1401,67.04,12
11/2/2017,Channel A,3190,787,63.31,6
11/2/2017,Channel B,2392,310,79.39,16
11/2/2017,Channel C,6921,540,58.75,12
11/2/2017,Channel D,11401,1575,66.81,16
11/1/2017,Channel A,3157,846,61.7,5
11/1/2017,Channel B,2334,336,77.82,17
11/1/2017,Channel C,6766,542,55.79,8
11/1/2017,Channel D,9234,1257,66.05,19
10/31/2017,Channel A,2844,778,61.76,6
10/31/2017,Channel B,2203,294,72.94,34
10/31/2017,Channel C,6055,483,60.01,11
10/31/2017,Channel D,5839,829,64.61,15
10/30/2017,Channel A,3029,818,61.89,5
10/30/2017,Channel B,2318,291,72.72,17
10/30/2017,Channel C,7500,587,54.65,6
10/30/2017,Channel D,6234,888,63.74,18
10/29/2017,Channel A,1518,395,59.33,3
10/29/2017,Channel B,1335,114,70.75,20
10/29/2017,Channel C,2072,204,61.08,8
10/29/2017,Channel D,2907,334,63.24,18
10/28/2017,Channel A,1371,318,61.06,8
10/28/2017,Channel B,1265,130,73.38,33
10/28/2017,Channel C,4032,286,60.04,12
10/28/2017,Channel D,2861,288,64.38,17
10/27/2017,Channel A,2501,650,64.29,5
10/27/2017,Channel B,1928,250,76.58,23
10/27/2017,Channel C,3982,293,62.99,11
10/27/2017,Channel D,5150,672,69.05,16
10/26/2017,Channel A,2952,807,63.89,5
10/26/2017,Channel B,2507,332,75.11,15
10/26/2017,Channel C,11075,628,61.58,9
10/26/2017,Channel D,5983,805,66.79,14
10/25/2017,Channel A,3204,877,61.38,10
10/25/2017,Channel B,2881,371,71.07,25
10/25/2017,Channel C,5854,519,57.36,12
10/25/2017,Channel D,6184,861,64.84,12
10/24/2017,Channel A,3430,959,60.73,3
10/24/2017,Channel B,2448,351,72.74,28
10/24/2017,Channel C,4444,445,58.29,10
10/24/2017,Channel D,6483,969,64.65,11
10/23/2017,Channel A,3383,972,60.8,7
10/23/2017,Channel B,2138,325,75.08,31
10/23/2017,Channel C,6184,573,54.79,11
10/23/2017,Channel D,6368,924,64.45,17
10/22/2017,Channel A,1643,414,61.75,8
10/22/2017,Channel B,1228,139,69.13,16
10/22/2017,Channel C,1804,210,58.72,5
10/22/2017,Channel D,2948,338,64.57,12
10/21/2017,Channel A,1512,349,62.09,8
10/21/2017,Channel B,1316,156,70.97,20
10/21/2017,Channel C,4093,308,59.47,6
10/21/2017,Channel D,3116,296,65.48,10
10/20/2017,Channel A,2547,664,64.35,10
10/20/2017,Channel B,1981,283,77.21,34
10/20/2017,Channel C,3361,287,60.25,12
10/20/2017,Channel D,5639,765,67.7,12
10/19/2017,Channel A,3096,759,63.55,5
10/19/2017,Channel B,2439,341,75.83,18
10/19/2017,Channel C,6047,572,61.01,5
10/19/2017,Channel D,6280,849,66.23,14
10/18/2017,Channel A,3467,878,61.54,4
10/18/2017,Channel B,2972,348,71.52,27
10/18/2017,Channel C,5689,534,56.32,10
10/18/2017,Channel D,6385,939,64.71,15
10/17/2017,Channel A,3440,882,61.32,9
10/17/2017,Channel B,4401,352,66.62,35
10/17/2017,Channel C,3754,328,57.65,7
10/17/2017,Channel D,6406,918,63.94,19
10/16/2017,Channel A,3820,990,60.37,4
10/16/2017,Channel B,2211,324,71.32,35
10/16/2017,Channel C,6034,576,55.06,5
10/16/2017,Channel D,7217,1046,63.11,17
10/15/2017,Channel A,1886,440,59.73,9
10/15/2017,Channel B,1396,151,70.42,26
10/15/2017,Channel C,1730,186,57.86,12
10/15/2017,Channel D,3218,378,63.55,16
10/14/2017,Channel A,1620,374,61.17,5
10/14/2017,Channel B,1221,139,74.61,15
10/14/2017,Channel C,3492,254,59.97,7
10/14/2017,Channel D,3072,299,67.33,17
10/13/2017,Channel A,3194,763,63.74,6
10/13/2017,Channel B,1840,279,73.96,25
10/13/2017,Channel C,3344,294,63.52,11
10/13/2017,Channel D,5611,729,66.31,19
10/12/2017,Channel A,3452,841,63.55,8
10/12/2017,Channel B,2179,299,74.61,30
10/12/2017,Channel C,6489,529,60.38,8
10/12/2017,Channel D,6145,811,67.39,10
10/11/2017,Channel A,3573,946,61.63,5
10/11/2017,Channel B,2706,319,71.14,33
10/11/2017,Channel C,5778,564,57.02,6
10/11/2017,Channel D,6376,900,65.8,12
10/10/2017,Channel A,3362,887,62.51,4
10/10/2017,Channel B,2141,317,69.92,31
10/10/2017,Channel C,6541,589,55.36,9
10/10/2017,Channel D,6284,878,64.92,14
10/9/2017,Channel A,3376,866,60.42,6
10/9/2017,Channel B,1890,276,73.38,30
10/9/2017,Channel C,6489,753,57.81,12
10/9/2017,Channel D,5691,834,63.89,13
10/8/2017,Channel A,1679,386,60.86,5
10/8/2017,Channel B,1201,156,71.69,29
10/8/2017,Channel C,1896,228,59.79,7
10/8/2017,Channel D,2872,321,60.56,20
10/7/2017,Channel A,1452,336,60.81,9
10/7/2017,Channel B,1123,121,75.01,17
10/7/2017,Channel C,4359,353,61.15,6
10/7/2017,Channel D,2863,314,63.04,18
10/6/2017,Channel A,2682,671,65.05,4
10/6/2017,Channel B,1780,239,73.24,25
10/6/2017,Channel C,3648,364,61.05,10
10/6/2017,Channel D,5317,719,66.49,17
10/5/2017,Channel A,3319,789,63,9
10/5/2017,Channel B,2028,300,74.1,24
10/5/2017,Channel C,6972,660,59.47,12
10/5/2017,Channel D,6109,795,65.86,20
10/4/2017,Channel A,3140,728,63.09,4
10/4/2017,Channel B,1891,268,74.51,30
10/4/2017,Channel C,5574,516,57.04,9
10/4/2017,Channel D,5776,739,64.85,20
10/3/2017,Channel A,3539,876,61.85,8
10/3/2017,Channel B,1957,295,73.11,15
10/3/2017,Channel C,4318,487,58.65,5
10/3/2017,Channel D,6170,886,64.54,13
10/2/2017,Channel A,3702,938,62.21,8
10/2/2017,Channel B,1920,302,71.71,34
10/2/2017,Channel C,6504,655,54.67,7
10/2/2017,Channel D,6142,918,63.83,12
10/1/2017,Channel A,1806,403,60.47,9
10/1/2017,Channel B,1119,156,68.78,23
10/1/2017,Channel C,1603,199,58.56,8
10/1/2017,Channel D,3110,353,65.7,15
9/30/2017,Channel A,1472,330,60.79,7
9/30/2017,Channel B,1133,138,70.29,33
9/30/2017,Channel C,3222,269,58.3,12
9/30/2017,Channel D,3048,312,65.7,12
9/29/2017,Channel A,2676,686,63.51,7
9/29/2017,Channel B,1849,295,77.85,25
9/29/2017,Channel C,3575,341,61.85,8
9/29/2017,Channel D,5371,743,65.7,14
9/28/2017,Channel A,3216,810,61.94,7
9/28/2017,Channel B,2142,300,76.39,28
9/28/2017,Channel C,5905,583,61.4,10
9/28/2017,Channel D,5949,825,66.94,11
9/27/2017,Channel A,3400,856,61.87,8
9/27/2017,Channel B,2397,318,77.8,19
9/27/2017,Channel C,6677,637,52.35,12
9/27/2017,Channel D,6046,850,65.96,20
9/26/2017,Channel A,3600,900,62.85,4
9/26/2017,Channel B,2166,310,76.52,15
9/26/2017,Channel C,4356,464,58.16,10
9/26/2017,Channel D,6128,878,65.76,17
9/25/2017,Channel A,3700,923,60.16,3
9/25/2017,Channel B,1995,286,77.3,22
9/25/2017,Channel C,7340,652,53,11
9/25/2017,Channel D,6277,891,63.75,18
9/24/2017,Channel A,1712,397,61.02,6
9/24/2017,Channel B,1111,108,70.84,29
9/24/2017,Channel C,1750,220,57.58,7
9/24/2017,Channel D,2928,334,64.26,15
9/23/2017,Channel A,1482,321,61.01,5
9/23/2017,Channel B,1179,101,77.6,32
9/23/2017,Channel C,3588,288,58.82,12
9/23/2017,Channel D,3067,281,64.33,10
9/22/2017,Channel A,2638,613,63.83,6
9/22/2017,Channel B,2002,229,78.56,19
9/22/2017,Channel C,3641,304,61.94,12
9/22/2017,Channel D,5268,663,67.02,18
9/21/2017,Channel A,3241,788,63.69,10
9/21/2017,Channel B,2118,269,77.79,16
9/21/2017,Channel C,6941,597,59.42,8
9/21/2017,Channel D,6139,822,66.25,11
9/20/2017,Channel A,3539,845,62.4,8
9/20/2017,Channel B,2228,235,72.24,35
9/20/2017,Channel C,6572,575,56.92,8
9/20/2017,Channel D,6324,888,64.63,17
9/19/2017,Channel A,3488,850,62.74,9
9/19/2017,Channel B,2117,287,78,30
9/19/2017,Channel C,3868,390,59.86,5
9/19/2017,Channel D,6333,892,66.15,10
9/18/2017,Channel A,3600,925,60.57,4
9/18/2017,Channel B,2139,296,74.63,17
9/18/2017,Channel C,6836,687,55.79,5
9/18/2017,Channel D,6527,936,63.62,14
9/17/2017,Channel A,1724,401,60.88,10
9/17/2017,Channel B,1131,144,71.96,16
9/17/2017,Channel C,1635,183,60.93,9
9/17/2017,Channel D,3076,368,63.3,14
9/16/2017,Channel A,1504,330,60.83,10
9/16/2017,Channel B,1164,133,76.68,27
9/16/2017,Channel C,3449,262,62.85,5
9/16/2017,Channel D,3090,343,65.29,20
9/15/2017,Channel A,2734,649,64.1,7
9/15/2017,Channel B,1927,264,81.36,31
9/15/2017,Channel C,3346,304,62.47,11
9/15/2017,Channel D,5348,769,66.31,20
9/14/2017,Channel A,3399,766,63.67,8
9/14/2017,Channel B,2131,304,77.48,29
9/14/2017,Channel C,5683,498,61.42,5
9/14/2017,Channel D,5859,801,65.9,12
9/13/2017,Channel A,3586,757,62.77,3
9/13/2017,Channel B,2386,291,77.02,29
9/13/2017,Channel C,5125,526,63.46,6
9/13/2017,Channel D,5671,748,65.45,19
9/12/2017,Channel A,2867,690,62.72,4
9/12/2017,Channel B,1873,241,74.53,20
9/12/2017,Channel C,3261,326,60.53,11
9/12/2017,Channel D,5481,712,64.74,12
9/11/2017,Channel A,2885,718,60.49,3
9/11/2017,Channel B,1697,216,74.75,32
9/11/2017,Channel C,5275,527,61.52,6
9/11/2017,Channel D,5391,772,64.61,20
9/10/2017,Channel A,1375,309,59.41,8
9/10/2017,Channel B,901,101,72.82,28
9/10/2017,Channel C,1512,179,63.02,7
9/10/2017,Channel D,2616,299,65.06,11
9/9/2017,Channel A,1350,309,61.41,3
9/9/2017,Channel B,1024,107,73.61,20
9/9/2017,Channel C,3034,241,62.53,10
9/9/2017,Channel D,2610,253,66.02,13
9/8/2017,Channel A,2336,605,62.02,7
9/8/2017,Channel B,1555,217,75.28,26
